,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
325,5,5.0,0.03246753290295601,1.0,1.0,0.0035050143487751484
326,6,6.0,0.03896103799343109,1.0,1.0,0.003440460190176964
327,7,7.0,0.04545454680919647,1.0,1.0,0.0007849098183214664
328,8,8.0,0.051948051899671555,1.0,1.0,0.0007849098183214664
329,9,9.0,0.05844155699014664,1.0,1.0,0.0007849098183214664
330,10,10.0,0.06493506580591202,1.0,1.0,0.0007849098183214664
331,11,11.0,0.0714285746216774,1.0,1.0,0.0007849098183214664
332,12,12.0,0.07792207598686218,1.0,1.0,0.0007849098183214664
333,13,13.0,0.08441558480262756,1.0,1.0,0.0007849098183214664
334,14,14.0,0.09090909361839294,1.0,1.0,0.0007849098183214664
335,15,15.0,0.09740259498357773,1.0,1.0,0.0007849098183214664
336,16,16.0,0.10389610379934311,1.0,1.0,0.0007849098183214664
337,17,16.0,0.10389610379934311,1.0,1.0,0.0007849098183214664
338,18,18.0,0.11688311398029327,1.0,1.0,0.0007849098183214664
339,19,18.0,0.11688311398029327,1.0,1.0,0.0007849098183214664
340,0,0.0,0.0,0.0,0.0,3.177905559539795
341,1,1.0,0.07692307978868484,0.0,0.0,2.6248185634613037
342,2,2.0,0.1538461595773697,1.0,1.0,0.18634401261806488
343,3,3.0,0.23076923191547394,1.0,1.0,0.015888433903455734
344,4,4.0,0.3076923191547394,1.0,1.0,0.0010466927196830511
345,5,5.0,0.38461539149284363,1.0,1.0,0.019327286630868912
346,6,6.0,0.4615384638309479,1.0,1.0,0.003359387628734112
347,7,7.0,0.5384615659713745,1.0,1.0,0.00431186705827713
348,8,7.0,0.5384615659713745,1.0,1.0,0.00431186705827713
349,9,7.0,0.5384615659713745,1.0,1.0,0.00431186705827713
350,10,7.0,0.5384615659713745,1.0,1.0,0.00431186705827713
351,11,11.0,0.8461538553237915,1.0,1.0,0.0001021907664835453
352,12,11.0,0.8461538553237915,1.0,1.0,0.0001021907664835453
353,13,13.0,1.0,1.0,1.0,-2.677714761034622e-08
354,14,13.0,1.0,1.0,1.0,-2.677714761034622e-08
355,15,13.0,1.0,1.0,1.0,-2.677714761034622e-08
356,16,13.0,1.0,1.0,1.0,-2.677714761034622e-08
357,17,13.0,1.0,1.0,1.0,-2.677714761034622e-08
358,18,13.0,1.0,1.0,1.0,-2.677714761034622e-08
359,19,13.0,1.0,1.0,1.0,-2.677714761034622e-08
360,0,0.0,0.0,1.0,1.0,0.3585416078567505
361,1,1.0,0.1428571492433548,1.0,1.0,0.06480342894792557
362,2,2.0,0.2857142984867096,0.0,0.0,0.9634531140327454
363,3,3.0,0.4285714328289032,0.0,0.0,1.153641939163208
364,4,4.0,0.5714285969734192,1.0,1.0,0.05809439346194267
365,5,5.0,0.7142857313156128,0.0,0.0,0.7931289672851562
366,6,6.0,0.8571428656578064,1.0,1.0,0.0025672991760075092
367,7,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
368,8,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
369,9,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
370,10,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
371,11,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
372,12,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
373,13,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
374,14,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
375,15,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
376,16,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
377,17,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
378,18,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
379,19,7.0,1.0,1.0,1.0,-1.1412991440806763e-08
380,0,0.0,0.0,1.0,1.0,0.3648703992366791
381,1,1.0,0.05882352963089943,1.0,1.0,0.06326465308666229
382,2,2.0,0.11764705926179886,0.0,0.0,2.2154922485351562
383,3,3.0,0.1764705926179886,0.0,0.0,1.2401514053344727
384,4,4.0,0.23529411852359772,0.0,0.0,0.5805933475494385
385,5,5.0,0.29411765933036804,1.0,1.0,0.04164940118789673
386,6,6.0,0.3529411852359772,1.0,1.0,0.015121647156774998
387,7,7.0,0.4117647111415863,1.0,1.0,0.015121647156774998
388,8,7.0,0.4117647111415863,1.0,1.0,0.015121647156774998
389,9,9.0,0.529411792755127,1.0,1.0,0.015121647156774998
390,10,9.0,0.529411792755127,1.0,1.0,0.015121647156774998
391,11,9.0,0.529411792755127,1.0,1.0,0.015121647156774998
392,12,9.0,0.529411792755127,1.0,1.0,0.015121647156774998
393,13,9.0,0.529411792755127,1.0,1.0,0.015121647156774998
394,14,9.0,0.529411792755127,1.0,1.0,0.015121647156774998
395,15,9.0,0.529411792755127,1.0,1.0,0.015121647156774998
396,16,9.0,0.529411792755127,1.0,1.0,0.015121647156774998
397,17,17.0,1.0,1.0,1.0,-1.3992039527011002e-08
398,18,17.0,1.0,1.0,1.0,-1.3992039527011002e-08
399,19,17.0,1.0,1.0,1.0,-1.3992039527011002e-08
400,0,0.0,0.0,0.0,0.0,2.335266351699829
401,1,1.0,0.032258063554763794,0.0,0.0,1.8651480674743652
